id;airline;plane_model;total_seats;origin;destination;schedule_departure_date;schedule_arrival_date;real_departure_date;real_arrival_date;pilot;copilot;notes
0000000414;Vueling Airlines;Airbus A319;160;BCN;FCO;2022/08/19 15:36:51;2022/08/19 17:26:51;2022/08/19 15:36:51;2022/08/19 19:36:51;Jane Moore;Emily Taylor;
0000000415;Jet2.com;Airbus A321;220;MAN;PRG;2022/07/20 17:45:19;2022/07/20 20:15:19;2022/07/20 17:45:19;2022/07/20 23:05:19;Robert Williams;Michael Miller;
0000000416;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2023/06/01 08:55:53;2023/06/01 09:40:53;2023/06/01 09:00:53;2023/06/01 10:30:53;William Brown;Emily Wilson;We have a slight delay due to air traffic.
0000000417;Lufthansa;Boeing 777;300;FRA;MAD;2022/12/13 14:09:13;2022/12/13 16:39:13;2022/12/13 14:09:13;2022/12/13 19:14:13;Emily Davis;Laura Brown;
0000000418;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/07/02 09:19:28;2022/07/02 10:09:28;2022/07/02 09:19:28;2022/07/02 11:29:28;William Miller;John Wilson;
0000000419;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2022/04/14 05:32:10;2022/04/14 06:47:10;2022/04/14 05:32:10;2022/04/14 08:32:10;David Johnson;Michael Johnson;
0000000420;EasyJet;Airbus A320;180;LHR;CDG;2023/06/07 12:44:32;2023/06/07 13:59:32;2023/06/07 12:44:32;2023/06/07 15:34:32;Sarah Jones;Jane Smith;
0000000421;Austrian Airlines;Airbus A321;220;VIE;MUC;2021/09/05 11:17:05;2021/09/05 12:07:05;2021/09/05 11:17:05;2021/09/05 12:57:05;William Miller;John Wilson;The flight crew is highly experienced and trained.
0000000422;Turkish Airlines;Airbus A320;200;IST;PRG;2023/03/06 01:24:40;2023/03/06 03:54:40;2023/03/06 01:24:40;2023/03/06 06:24:40;Sarah Taylor;David Smith;
0000000423;Lufthansa;Boeing 777;300;FRA;MAD;2023/03/14 10:36:18;2023/03/14 13:06:18;2023/03/14 11:06:18;2023/03/14 16:06:18;Emily Davis;Laura Brown;
0000000424;Aer Lingus;Airbus A320;180;DUB;LIS;2021/10/13 12:10:11;2021/10/13 15:10:11;2021/10/13 12:40:11;2021/10/13 18:45:11;Jane Jones;David Davis;
0000000425;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/11/21 03:00:19;2022/11/21 03:50:19;2022/11/21 03:20:19;2022/11/21 05:05:19;William Miller;John Wilson;
0000000426;Aeroflot;Airbus A320;250;svO;TXL;2022/05/14 17:06:13;2022/05/14 20:21:13;2022/05/14 17:06:13;2022/05/14 23:36:13;William Davis;Emily Davis;Pilots are in constant communication with air traffic control.
0000000427;Ryanair;Boeing 737;189;DUB;BCN;2022/09/18 12:28:40;2022/09/18 15:13:40;2022/09/18 12:28:40;2022/09/18 18:13:40;Laura Wilson;Sarah Davis;
0000000428;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/02/20 04:01:55;2021/02/20 05:01:55;2021/02/20 04:01:55;2021/02/20 06:01:55;Laura Moore;John Taylor;
0000000429;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2023/03/13 14:24:21;2023/03/13 15:09:21;2023/03/13 14:24:21;2023/03/13 16:09:21;William Brown;Emily Wilson;
0000000430;Lufthansa;Boeing 777;300;FRA;MAD;2023/07/17 10:25:30;2023/07/17 12:55:30;2023/07/17 10:45:30;2023/07/17 15:45:30;Emily Davis;Laura Brown;
0000000431;;Embraer E190;100;WAW;BUD;2021/12/16 10:11:18;2021/12/16 11:26:18;2021/12/16 10:41:18;2021/12/16 13:26:18;David Johnson;Michael Johnson;
0000000432;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2022/03/15 05:26:55;2022/03/15 06:11:55;2022/03/15 05:26:55;2022/03/15 07:26:55;William Brown;Emily Wilson;
0000000433;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2022/11/02 09:34:22;2022/11/02 10:34:22;2022/11/02 09:34:22;2022/11/02 12:04:22;Laura Moore;John Taylor;
0000000434;Jet2.com;Airbus A321;220;MAN;PRG;2022/08/09 07:56:25;2022/08/09 10:26:25;2022/08/09 07:56:25;2022/08/09 13:26:25;Robert Williams;Michael Miller;
0000000435;Alitalia;Boeing 767;280;FCO;ATH;2022/11/13 04:18:58;2022/11/13 06:18:58;2022/11/13 04:38:58;2022/11/13 09:08:58;Laura Wilson;Emily Moore;
0000000436;Aer Lingus;Airbus A320;180;DUB;LIS;24/12/2005;2023/05/09 17:44:25;2023/05/09 14:44:25;2023/05/09 21:14:25;Jane Jones;David Davis;Our company invests in the latest aviation technology.
0000000437;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/12/03 09:42:41;2021/12/03 10:42:41;2021/12/03 09:47:41;2021/12/03 11:47:41;Laura Moore;John Taylor;
0000000438;Air France;Airbus A321;220;CDG;FCO;2022/09/05 00:13:48;2022/09/05 01:58:48;2022/09/05 00:43:48;2022/09/05 04:33:48;John Williams;Robert Smith;Passengers seem comfortable and relaxed.
0000000439;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/05/03 03:28:55;2021/05/03 04:38:55;2021/05/03 04:13:55;2021/05/03 06:38:55;Sarah Davis;Michael Brown;
0000000440;Aeroflot;Airbus A320;250;SVO;TXL;2022/08/02 08:37:07;2022/08/02 11:52:07;2022/08/02 08:37:07;2022/08/02 15:12:07;William Davis;Emily Davis;
0000000441;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2022/11/06 02:30:29;2022/11/06 03:30:29;2022/11/06 02:35:29;2022/11/06 04:55:29;David Smith;John Jones;
0000000442;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/08/21 07:43:40;2022/08/21 08:33:40;2022/08/21 07:43:40;2022/08/21 09:53:40;William Miller;John Wilson;
0000000443;EasyJet;Airbus A320;180;LHR;CDG;2022/06/16 16:35:53;2022/06/16 17:50:53;2022/06/16 16:55:53;2022/06/16 19:30:53;Sarah Jones;Jane Smith;
0000000444;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2023/05/02 03:07:40;2023/05/02 04:17:40;2023/05/02 03:52:40;2023/05/02 06:12:40;Sarah Davis;Michael Brown;
0000000445;Transavia;Airbus A320;180;AMS;NCE;2023/06/09 01:59:30;2023/06/09 04:19:30;2023/06/09 02:04:30;2023/06/09 06:49:30;Jane Jones;Jane Jones;
0000000446;British Airways;Boeing 737;150;LHR;AMS;2023/08/12 17:02:11;2023/08/12 18:12:11;2023/08/12 17:17:11;2023/08/12 19:37:11;Sarah Smith;Emily Johnson;
0000000447;Aeroflot;Airbus A320;250;SVO;TXL;2022/10/11 00:03:05;2022/10/11 03:18:05;2022/10/11 00:03:05;2022/10/11 06:48:05;William Davis;Emily Davis;We prioritize passenger comfort and safety.
0000000448;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2022/06/15 02:22:23;2022/06/15 03:32:23;2022/06/15 02:27:23;2022/06/15 04:47:23;Sarah Davis;Michael Brown;
0000000449;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/12/11 08:15:30;2021/12/11 09:25:30;2021/12/11 09:00:30;2021/12/11 12:05:30;Sarah Davis;Michael Brown;Passengers seem comfortable and relaxed.
0000000450;British Airways;Boeing 737;150;LHR;AMS;2022/07/19 03:24:46;2022/07/19 04:34:46;2022/07/19 03:24:46;2022/07/19 05:59:46;Sarah Smith;Emily Johnson;
0000000451;Alitalia;Boeing 767;280;FCO;ATH;2022/12/15 02:11:32;2022/12/15 04:11:32;2022/12/15 02:16:32;2022/12/15 06:16:32;Laura Wilson;Emily Moore;Our company values safety above all else.
0000000452;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2023/01/08 11:18:01;2023/01/08 13:43:01;2023/01/08 11:18:01;2023/01/08 16:13:01;Emily Davis;John Smith;
0000000453;Alitalia;Boeing 767;280;FCO;ATH;2023/06/09 07:57:34;2023/06/09 09:57:34;2023/06/09 08:42:34;2023/06/09 12:42:34;Laura Wilson;Emily Moore;Thank you for choosing our airline for your journey.
0000000454;Turkish Airlines;Airbus A320;200;IST;PRG;2022/04/15 05:28:16;2022/04/15 07:58:16;2022/04/15 05:28:16;2022/04/15 11:13:16;Sarah Taylor;David Smith;Cargo loading and unloading is proceeding smoothly.
0000000455;Iberia;Airbus A321;220;MAD;LIS;2023/01/03 00:56:55;2023/01/03 02:11:55;2023/01/03 00:56:55;2023/01/03 03:41:55;Robert Johnson;John Moore;Our flight route is well-planned to avoid turbulence.
0000000456;Scandinavian Airlines (SAS);Boeing 737;160;cpH;OSL;2023/01/21 01:49:04;2023/01/21 02:49:04;2023/01/21 01:49:04;2023/01/21 04:04:04;David Smith;John Jones;
0000000457;Air France;Airbus A321;220;CDG;FCO;2023/06/07 05:42:48;2023/06/07 07:27:48;2023/06/07 06:02:48;2023/06/07 09:47:48;John Williams;Robert Smith;
0000000458;Air France;Airbus A321;220;CDG;FCO;2022/09/17 07:58:05;2022/09/17 09:43:05;2022/09/17 07:58:05;2022/09/17 11:28:05;John Williams;Robert Smith;
0000000459;Iberia;Airbus A321;220;MAD;LIS;2021/08/18 06:26:12;2021/08/18 07:41:12;2021/08/18 06:31:12;2021/08/18 09:06:12;Robert Johnson;John Moore;
0000000460;Jet2.com;Airbus A321;220;MAN;PRG;2021/12/16 01:05:52;2021/12/16 03:35:52;2021/12/16 01:05:52;2021/12/16 06:05:52;Robert Williams;Michael Miller;
0000000461;British Airways;Boeing 737;150;LHR;AMS;2023/04/12 12:05:14;2023/04/12 13:15:14;2023/04/12 12:25:14;2023/04/12 15:30:14;Sarah Smith;Emily Johnson;
0000000462;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2023/01/15 11:59:30;2023/01/15 13:09:30;2023/01/15 12:19:30;2023/01/15 14:54:30;Sarah Davis;Michael Brown;
0000000463;Alitalia;Boeing 767;280;FCO;ATH;2023/02/15 03:43:35;2023/02/15 05:43:35;2023/02/15 03:43:35;2023/02/15 08:03:35;Laura Wilson;Emily Moore;
0000000464;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2023/02/08 08:21:30;2023/02/08 09:51:30;2023/02/08 09:06:30;2023/02/08 12:11:30;Olivia Brown;Sarah Moore;
0000000465;Aeroflot;Airbus A320;250;SVO;TXL;2022/09/08 03:54:06;2022/09/08 00:39:06;2022/09/08 00:59:06;2022/09/08 08:14:06;William Davis;Emily Davis;Passengers seem comfortable and relaxed.
0000000466;Austrian Airlines;Airbus A321;220;VIE;MUC;2021/08/02 16:59:28;2021/08/02 17:49:28;2021/08/02 17:14:28;2021/08/02 19:39:28;William Miller;John Wilson;
;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2022/09/21 16:25:26;2022/09/21 17:25:26;2022/09/21 16:25:26;2022/09/21 18:25:26;David Smith;John Jones;Smooth takeoff, great weather today!
0000000468;Air France;Airbus A321;220;CDG;FCO;2023/06/07 09:47:28;2023/06/07 11:32:28;2023/06/07 09:47:28;2023/06/07 14:02:28;John Williams;Robert Smith;
0000000469;Aer Lingus;Airbus A320;180;DUB;LIS;2022/12/12 01:30:20;2022/12/12 04:30:20;2022/12/12 01:45:20;2022/12/12 08:00:20;Jane Jones;David Davis;
0000000470;Austrian Airlines;Airbus A321;220;VIE;MUC;2021/11/01 16:10:40;2021/11/01 17:00:40;2021/11/01 16:10:40;2021/11/01 18:35:40;William Miller;John Wilson;
0000000471;Iberia;Airbus A321;220;MAD;LIS;2023/04/17 00:44:30;2023/04/17 01:59:30;2023/04/17 00:44:30;2023/04/17 03:14:30;Robert Johnson;John Moore;The aircraft is performing well today.
0000000472;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2022/05/10 06:20:53;2022/05/10 07:50:53;2022/05/10 07:05:53;2022/05/10 10:05:53;Olivia Brown;Sarah Moore;
0000000473;Jet2.com;Airbus A321;220;MAN;PRG;2023/08/07 03:25:48;2023/08/07 05:55:48;2023/08/07 03:40:48;2023/08/07 09:00:48;Robert Williams;Michael Miller;
0000000474;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/04/07 13:20:14;2021/04/07 14:30:14;2021/04/07 13:20:14;2021/04/07 15:40:14;Sarah Davis;Michael Brown;
0000000475;Aer Lingus;Airbus A320;180;DUB;LIS;2022/12/06 01:02:07;2022/12/06 04:02:07;2022/12/06 01:07:07;2022/12/06 07:22:07;Jane Jones;David Davis;
0000000476;EasyJet;Airbus A320;180;LHR;CDG;2022/06/11 09:26:38;2022/06/11 10:41:38;2022/06/11 09:41:38;2022/06/11 12:31:38;Sarah Jones;Jane Smith;
0000000477;Iberia;Airbus A321;220;MAD;LIS;2021/09/02 00:23:25;2021/09/02 01:38:25;2021/09/02 00:43:25;2021/09/02 03:58:25;Robert Johnson;John Moore;
0000000478;Turkish Airlines;Airbus A320;200;IST;PRG;2023/04/12 00:13:52;2023/04/12 02:43:52;2023/04/12 00:13:52;2023/04/12 05:13:52;Sarah Taylor;David Smith;
0000000479;Ryanair;Boeing 737;189;DUB;BCN;2023/05/04 05:50:06;2023/05/04 08:35:06;2023/05/04 05:50:06;2023/05/04 11:35:06;Laura Wilson;Sarah Davis;Please ensure your seatbelts are fastened for landing.
0000000480;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2023/03/20 00:28:30;2023/03/20 01:13:30;2023/03/20 00:48:30;2023/03/20 02:23:30;William Brown;Emily Wilson;
0000000481;Aeroflot;Airbus A320;250;SVO;TXL;2022/08/02 09:16:53;2022/08/02 12:31:53;2022/08/02 09:16:53;2022/08/02 16:01:53;William Davis;Emily Davis;
;Lufthansa;Boeing 777;300;FRA;MAD;2021/12/18 01:49:15;2021/12/18 04:19:15;2021/12/18 01:54:15;2021/12/18 07:39:15;Emily Davis;Laura Brown;
0000000483;LOT Polish Airlines;Embraer E190;100;WaW;BUD;2023/03/02 02:04:50;2023/03/02 03:19:50;2023/03/02 02:49:50;2023/03/02 05:39:50;David Johnson;Michael Johnson;
0000000484;Jet2.com;Airbus A321;220;MAN;PRG;2022/07/03 06:46:34;2022/07/03 09:16:34;2022/07/03 07:06:34;2022/07/03 12:11:34;Robert Williams;Michael Miller;
0000000485;Aeroflot;Airbus A320;250;SVO;TXL;2023/06/07 00:23:10;2023/06/07 03:38:10;2023/06/07 00:23:10;2023/06/07 07:38:10;William Davis;Emily Davis;We've reached our maximum altitude for this flight.
0000000486;Vueling Airlines;Airbus A319;160;BCN;FCO;2021/04/09 14:16:29;2021/04/09 16:06:29;2021/04/09 14:16:29;2021/04/09 18:26:29;Jane Moore;Emily Taylor;
0000000487;TAP Air Portugal;Airbus A320;200;LIS;MAD;2023/02/20 06:54:54;2023/02/20 08:04:54;2023/02/20 06:54:54;2023/02/20 09:29:54;Jane Williams;Emily Miller;
0000000488;Aer Lingus;Airbus A320;180;DUB;LIS;2022/03/18 05:02:45;2022/03/18 08:02:45;2022/03/18 05:22:45;2022/03/18 11:22:45;Jane Jones;David Davis;The aircraft is performing well today.
0000000489;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2021/12/19 13:57:02;2021/12/19 14:42:02;2021/12/19 14:12:02;2021/12/19 16:27:02;William Brown;Emily Wilson;
0000000490;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/02/08 17:32:32;2022/02/08 18:22:32;2022/02/08 18:02:32;2022/02/08 19:42:32;William Miller;John Wilson;
0000000491;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2022/02/13 03:10:39;2022/02/13 03:55:39;2022/02/13 03:10:39;2022/02/13 04:45:39;William Brown;Emily Wilson;
0000000492;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/06/13 08:46:54;2021/06/13 09:56:54;2021/06/13 08:46:54;2021/06/13 11:06:54;Sarah Davis;Michael Brown;
0000000493;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/12/08 04:08:15;2021/12/08 05:38:15;2021/12/08 04:08:15;2021/12/08 07:08:15;Olivia Brown;Sarah Moore;Smooth takeoff, great weather today!
0000000494;Aeroflot;Airbus A320;250;SVO;TXL;2021/12/02 05:03:18;2021/12/02 08:18:18;2021/12/02 05:03:18;2021/12/02 11:53:18;William Davis;Emily Davis;Pilots are in constant communication with air traffic control.
0000000495;EasyJet;Airbus A320;180;LHR;CDG;2022/03/17 09:54:21;2022/03/17 11:09:21;2022/03/17 10:09:21;2022/03/17 12:39:21;Sarah Jones;Jane Smith;
0000000496;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2023/04/19 17:06:50;2023/04/19 18:36:50;2023/04/19 17:06:50;2023/04/19 20:26:50;Olivia Brown;Sarah Moore;
0000000497;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/02/11 03:50:21;2021/02/11 05:20:21;2021/02/11 03:50:21;2021/02/11 06:50:21;Olivia Brown;Sarah Moore;
0000000498;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/06/08 03:21:49;2021/06/08 04:51:49;2021/06/08 03:21:49;2021/06/08 06:21:49;Olivia Brown;Sarah Moore;
0000000499;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/12/02 15:03:21;2021/12/02 16:33:21;2021/12/02 15:03:21;2021/12/02 18:03:21;Olivia Brown;Sarah Moore;We are experiencing some turbulence, but it's manageable.
0000000500;Lufthansa;Boeing 777;300;FRA;MAD;2023/01/02 11:38:46;2023/01/02 14:08:46;2023/01/02 11:38:46;2023/01/02 16:38:46;Emily Davis;Laura Brown;
0000000501;British Airways;Boeing 737;150;LHR;AMS;2023/04/18 15:05:59;2023/04/18 16:15:59;2023/04/18 15:20:59;2023/04/18 17:40:59;Sarah Smith;Emily Johnson;
0000000502;EasyJet;Airbus A320;180;LHR;CDG;2021/05/16 03:58:14;2021/05/16 05:13:14;2021/05/16 04:18:14;2021/05/16 06:53:14;Sarah Jones;Jane Smith;
0000000503;TAP Air Portugal;Airbus A320;200;LIS;MAD;2022/04/05 12:37:47;2022/04/05 13:47:47;2022/04/05 13:07:47;2022/04/05 16:12:47;Jane Williams;Emily Miller;
0000000504;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2023/01/19 13:38:08;2023/01/19 14:48:08;2023/01/19 13:38:08;2023/01/19 16:13:08;Sarah Davis;Michael Brown;
0000000505;Iberia;Airbus A321;220;MAD;LIS;2022/02/15 16:52:13;2022/02/15 18:07:13;2022/02/15 16:57:13;2022/02/15 20:12:13;Robert Johnson;John Moore;
0000000506;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2022/02/02 12:16:31;2022/02/02 13:31:31;2022/02/02 12:16:31;2022/02/02 14:51:31;David Johnson;Michael Johnson;We have a strong commitment to on-time departures.
0000000507;Alitalia;Boeing 767;280;FCO;ATH;2022/04/17 02:35:51;2022/04/17 04:35:51;2022/04/17 02:50:51;2022/04/17 07:05:51;Laura Wilson;Emily Moore;
0000000508;Transavia;Airbus A320;180;AMS;NCE;2021/03/12 14:58:27;2021/03/12 17:18:27;2021/03/12 15:43:27;2021/03/12 20:53:27;Jane Jones;Jane Jones;
0000000509;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2023/02/03 08:34:48;2023/02/03 09:34:48;2023/02/03 08:39:48;2023/02/03 10:39:48;David Smith;John Jones;
0000000510;Transavia;Airbus A320;180;AMS;NCE;2021/03/22 17:36:12;2021/03/22 19:56:12;2021/03/22 18:06:12;2021/03/22 23:16:12;Jane Jones;Jane Jones;
0000000511;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/04/05 14:56:36;2021/04/05 15:56:36;2021/04/05 15:41:36;2021/04/05 18:01:36;Laura Moore;John Taylor;
0000000512;TAP Air Portugal;Airbus A320;200;LIS;MAD;2022/07/05 01:08:31;2022/07/05 02:18:31;2022/07/05 01:08:31;2022/07/05 03:43:31;Jane Williams;Emily Miller;
0000000513;Vueling Airlines;Airbus A319;160;BCN;FCO;2021/07/03 09:57:23;2021/07/03 11:47:23;2021/07/03 09:57:23;2021/07/03 13:37:23;Jane Moore;Emily Taylor;We are experiencing some turbulence, but it's manageable.
0000000514;EasyJet;Airbus A320;180;LHR;CDG;2021/03/17 14:36:34;2021/03/17 15:51:34;2021/03/17 14:36:34;2021/03/17 17:26:34;Sarah Jones;Jane Smith;
0000000515;Austrian Airlines;Airbus A321;220;VIE;MUC;2021/01/22 01:45:58;2021/01/22 02:35:58;2021/01/22 01:50:58;2021/01/22 04:15:58;William Miller;John Wilson;
0000000516;Ryanair;Boeing 737;189;DUB;TXL;2023/01/20 13:02:15;2023/01/20 15:02:15;2023/01/20 13:02:15;2023/01/20 17:02:15;Jane Davis;Emily Davis;
0000000517;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2021/03/15 11:02:41;2021/03/15 12:02:41;2021/03/15 11:17:41;2021/03/15 13:17:41;David Smith;John Jones;
0000000518;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2021/01/11 06:27:34;2021/01/11 08:52:34;2021/01/11 06:47:34;2021/01/11 12:07:34;Emily Davis;John Smith;We have a slight delay due to air traffic.
0000000519;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2022/06/16 06:03:27;2022/06/16 07:33:27;2022/06/16 06:08:27;2022/06/16 09:23:27;Olivia Brown;Sarah Moore;
0000000520;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2021/06/07 01:27:10;2021/06/07 02:12:10;2021/06/07 02:12:10;2021/06/07 03:42:10;William Brown;Emily Wilson;
0000000521;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2021/02/19 07:56:28;2021/02/19 08:56:28;2021/02/19 07:56:28;2021/02/19 10:16:28;David Smith;John Jones;
0000000522;Aeroflot;Airbus A320;250;SVO;TXL;2021/12/04 00:38:04;2021/12/04 03:53:04;2021/12/04 00:38:04;2021/12/04 07:53:04;William Davis;Emily Davis;
0000000523;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2022/08/08 17:52:20;2022/08/08 18:37:20;2022/08/08 17:52:20;2022/08/08 19:42:20;William Brown;Emily Wilson;
0000000524;Turkish Airlines;Airbus A320;200;IST;PRG;2021/01/12 15:14:02;2021/01/12 17:44:02;2021/01/12 15:34:02;2021/01/12 20:34:02;Sarah Taylor;David Smith;
0000000525;Alitalia;Boeing 767;280;FCO;ATH;2022/11/16 08:31:01;2022/11/16 10:31:01;2022/11/16 08:36:01;2022/11/16 12:56:01;Laura Wilson;Emily Moore;
0000000526;Air France;Airbus A321;220;CDG;FCO;2021/03/03 13:05:19;2021/03/03 14:50:19;2021/03/03 13:05:19;2021/03/03 16:40:19;John Williams;Robert Smith;
0000000527;Aer Lingus;Airbus A320;180;DUB;LIS;2022/05/19 06:47:24;2022/05/19 09:47:24;2022/05/19 06:47:24;2022/05/19 12:47:24;Jane Jones;David Davis;We prioritize passenger comfort and safety.
0000000528;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2023/05/13 04:11:05;2023/05/13 05:21:05;2023/05/13 04:41:05;2023/05/13 07:01:05;Sarah Davis;Michael Brown;The cockpit crew is constantly monitoring systems.
0000000529;Aer Lingus;Airbus A320;180;DUB;LIS;2021/09/17 17:47:10;2021/09/17 20:47:10;2021/09/17 17:47:10;2021/09/18 00:07:10;Jane Jones;David Davis;
0000000530;Jet2.com;Airbus A321;220;MAN;PRG;2021/08/15 02:08:15;2021/08/15 04:38:15;2021/08/15 02:08:15;2021/08/15 07:23:15;Robert Williams;Michael Miller;
0000000531;Aer Lingus;Airbus A320;180;DUB;LIS;2022/06/09 02:21:06;2022/06/09 05:21:06;2022/06/09 02:51:06;2022/06/09 09:11:06;Jane Jones;David Davis;
0000000532;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/05/04 04:45:44;2021/05/04 06:15:44;2021/05/04 05:00:44;2021/05/04 08:05:44;Olivia Brown;Sarah Moore;
0000000533;Aer Lingus;Airbus A320;180;DUB;LIS;2023/07/05 17:30:35;2023/07/05 20:30:35;2023/07/05 17:30:35;2023/07/05 23:45:35;Jane Jones;David Davis;
0000000534;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2021/10/04 02:36:11;2021/10/04 03:51:11;2021/10/04 02:36:11;2021/10/04 05:26:11;David Johnson;Michael Johnson;
0000000535;TAP Air Portugal;Airbus A320;200;LIS;MAD;2021/10/08 09:08:59;2021/10/08 10:18:59;2021/10/08 09:53:59;2021/10/08 12:13:59;Jane Williams;Emily Miller;
0000000536;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/05/08 15:11:10;2021/05/08 16:21:10;2021/05/08 15:11:10;2021/05/08 17:31:10;Sarah Davis;Michael Brown;
0000000537;Alitalia;Boeing 767;280;FCO;ATH;2021/01/15 03:10:08;2021/01/15 05:10:08;2021/01/15 03:25:08;2021/01/15 07:30:08;Laura Wilson;Emily Moore;
0000000538;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2022/04/20 06:11:26;2022/04/20 07:21:26;2022/04/20 06:11:26;2022/04/20 08:31:26;Sarah Davis;Michael Brown;
0000000539;Ryanair;Boeing 737;189;DUB;TXL;2023/04/10 08:15:46;2023/04/10 10:15:46;2023/04/10 09:00:46;2023/04/10 13:00:46;Jane Davis;Emily Davis;
0000000540;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2022/10/04 02:06:22;2022/10/04 03:36:22;2022/10/04 02:06:22;2022/10/04 05:06:22;Olivia Brown;Sarah Moore;
0000000541;Aer Lingus;Airbus A320;180;DUB;LIS;2021/08/13 15:07:22;2021/08/13 18:07:22;2021/08/13 15:37:22;2021/08/13 21:37:22;Jane Jones;David Davis;
0000000542;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/02/06 07:53:10;2022/02/06 08:43:10;2022/02/06 08:23:10;2022/02/06 10:08:10;William Miller;John Wilson;Passengers seem comfortable and relaxed.
0000000543;Austrian Airlines;Airbus A321;220;VIE;MUC;2021/01/21 04:25:20;2021/01/21 05:15:20;2021/01/21 04:45:20;2021/01/21 06:25:20;William Miller;John Wilson;Passengers seem comfortable and relaxed.
0000000544;Alitalia;Boeing 767;280;FCO;ATH;2023/05/02 15:49:15;2023/05/02 17:49:15;2023/05/02 15:49:15;2023/05/02 20:04:15;Laura Wilson;Emily Moore;
0000000545;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/09/21 11:00:54;2022/09/21 11:50:54;2022/09/21 11:30:54;2022/09/21 13:55:54;William Miller;John Wilson;
0000000546;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2022/05/08 11:13:05;2022/05/08 11:58:05;2022/05/08 11:13:05;2022/05/08 12:43:05;William Brown;Emily Wilson;
0000000547;Aeroflot;Airbus A320;250;SVO;txl;2022/08/06 00:54:41;2022/08/06 04:09:41;2022/08/06 00:54:41;2022/08/06 07:24:41;William Davis;Emily Davis;
0000000548;Lufthansa;Boeing 777;300;FRA;MAD;2021/06/06 16:57:44;2021/06/06 19:27:44;2021/06/06 16:57:44;2021/06/06 21:57:44;Emily Davis;Laura Brown;The aircraft is performing well today.
0000000549;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2022/09/13 07:47:07;2022/09/13 10:12:07;2022/09/13 07:47:07;2022/09/13 12:57:07;Emily Davis;John Smith;
0000000550;LOT Polish Airlines;Embraer E190;100;Waw;BUD;2022/09/15 08:06:38;2022/09/15 09:21:38;2022/09/15 08:06:38;2022/09/15 10:36:38;David Johnson;Michael Johnson;
0000000551;Vueling Airlines;Airbus A319;160;BCN;FCO;2022/08/12 15:21:57;2022/08/12 17:11:57;2022/08/12 15:21:57;2022/08/12 19:01:57;Jane Moore;Emily Taylor;
